,date,ticker,value
148,2021-05-01,GD,9550
149,2021-05-01,GIS,15361
150,2021-05-01,GILD,27473
151,2021-05-01,GNL,60389
152,2021-05-01,GPN,2361
153,2021-05-01,CLOU,1550
154,2021-05-01,SIL,120
155,2021-05-01,QYLD,5645
156,2021-05-01,RNRG,40
157,2021-05-01,BOTZ,1291
158,2021-05-01,XYLD,29
159,2021-05-01,GS,1966
160,2021-05-01,HAS,3922
161,2021-05-01,HLX,17870
162,2021-05-01,HP,29234
163,2021-05-01,HSY,3023
164,2021-05-01,HD,18581
165,2021-05-01,HON,7857
166,2021-05-01,HRL,51150
167,2021-05-01,HUM,749
168,2021-05-01,ITW,9669
169,2021-05-01,IR,5820
170,2021-05-01,FFTY,2093
171,2021-05-01,UAUG,2178
172,2021-05-01,UDEC,3562
173,2021-05-01,UJUN,1885
174,2021-05-01,UOCT,14805
175,2021-05-01,USEP,6646
176,2021-05-01,IART,7966
177,2021-05-01,INTC,12858
178,2021-05-01,IBM,24955
179,2021-05-01,IFF,3468
180,2021-05-01,ISRG,1052
181,2021-05-01,GTO,1058
182,2021-05-01,GSY,8576
183,2021-05-01,PPA,521
184,2021-05-01,ERTH,1614
185,2021-05-01,PFM,490
186,2021-05-01,DJD,654
187,2021-05-01,PTH,36499
188,2021-05-01,PDP,2798
189,2021-05-01,PWB,780
190,2021-05-01,PEJ,165175
191,2021-05-01,PSI,250
192,2021-05-01,IGPT,3172
193,2021-05-01,PRF,21158
194,2021-05-01,PEY,1200
195,2021-05-01,GOVI,17235
196,2021-05-01,PCEF,3286
197,2021-05-01,CQQQ,160
198,2021-05-01,PIZ,51
199,2021-05-01,PIE,80
200,2021-05-01,DWAS,1635
201,2021-05-01,PCY,137
202,2021-05-01,PXH,636
203,2021-05-01,PGHY,578
204,2021-05-01,RWL,113738
205,2021-05-01,RWK,97032
206,2021-05-01,RWJ,4044
207,2021-05-01,KBWY,54
208,2021-05-01,PGX,23750
209,2021-05-01,EQAL,312855
210,2021-05-01,SPVU,37
211,2021-05-01,SPHB,1300
212,2021-05-01,SPHD,3065
213,2021-05-01,SPLV,7514
214,2021-05-01,SPMO,159681
215,2021-05-01,EELV,314
216,2021-05-01,CGW,55
217,2021-05-01,XMLV,189330
218,2021-05-01,XSLV,288
219,2021-05-01,TAN,2072
220,2021-05-01,BKLN,2598
221,2021-05-01,BAB,23368
222,2021-05-01,PID,10413
223,2021-05-01,PNQI,16363
224,2021-05-01,RSPG,460
225,2021-05-01,RSP,65154
226,2021-05-01,RSPF,305
227,2021-05-01,RSPH,8
228,2021-05-01,RSPN,1043
229,2021-05-01,RSPM,2696
230,2021-05-01,RSPT,2824
231,2021-05-01,RSPU,888
232,2021-05-01,SPGP,564
